"Magic, pretended miracles and remarkable natural phenomena ; Remarkable delusions : or, Illustrations of popular errors.",,English,1855
"The round, an introduction","Santiago, Edward, 1904-",English,1942
"In defense of magic; the meaning and use of symbol and rite,","Smith, Catharine Cook.",English,1930
"The supernatural philosopher: or, The mysteries of magick, in all its branches, clearly unfolded ... All exemplified in the history of the life and surprizing adventures of Mr. Duncan Campbell ... Collected and compiled from the most approved authorities. Wherein is inserted, that most celebrated tract written by Dr. Wallis, The method of teaching deaf and dumb persons to read, write, and understand a language.","Bond, William, -1735.",English,1728
A study of the magic elements in the romans d'aventure and the romans bretons ... part 1 ...,"Easter, De La Warr Benjamin.",English,1906
"The Johns Hopkins Tabellae defixionum,","Fox, William Sherwood, 1878-",English,1912
"Magical jewels of the middle ages and the renaissance, particularly in England,","Evans, Joan, 1893-",English,1922
"Anglo-Saxon magic and medicine.  Illustrated specially from the semi-pagan text ""Lacnunga,""","Grattan, John Henry Grafton, 1878-1951.",English,1952
"The mascot book; a popular encyclopædia of bringers of luck, with their attendant legends and beliefs--talismans from every land--eastern lore and mystery--gipsy traditions, etc.,","Villiers, Elizabeth.",English,1929
Ritual magic,"Butler, E. M. (Eliza Marian), 1885-1959.",English,1949
The mysteries and secrets of magic.,"Thompson, C. J. S. (Charles John Samuel), 1862-1943.",English,1928
"The magical writings of Thomas Vaughan (Eugenius Philatethes) A verbatim reprint of his first four treatises: Anthroposophia theomagica, Anima magica abscondita, Magia adamica, and the true Cœlum terræ;","Vaughan, Thomas, 1622-1666.",English,1888
"Magic, a sociological study.","Webster, Hutton, 1875-1955.",English,1948
The history of magic,"Ennemoser, Joseph, 1787-1854.",English,1854
"Letters on natural magic : addressed to Sir Walter Scott, Bart.","Brewster, David, Sir, 1781-1868.",English,1839
"An history of magic, witchcraft, and animal magnetism.","Colquhoun, J. C. (John Campbell), 1785-1854.",English,1851
The magical ritual of the sanctum regnum interpreted by the Tarot trumps.,"Lévi, Eliphas, 1810-1875.",English,1971
Magic and fetishism,"Haddon, Alfred C. (Alfred Cort), 1855-1940.",English,1910
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1948
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1954
The ancients book of magic; an historical record of the secret procedures and practices of the ancient masters and adepts.,"De Claremont, Lewis.",English,1936
Modern magic.,"Schele de Vere, M. (Maximilian), 1820-1898.",English,1873
"The magic of jewels and charms,","Kunz, George Frederick, 1856-1932.",English,1915
The history of magick :,"Naudé, Gabriel, 1600-1653.",English,1657
"Witchcraft, oracles and magic among the Azande,","Evans-Pritchard, E. E. (Edward Evan), 1902-1973.",English,1937
"Lives of the necromancers. Or, An account of the most eminent persons in successive ages, who have claimed for themselves, or to whom has been imputed by others, the exercise of magical power.","Godwin, William, 1756-1836.",English,1835
Lives of the necromancers:...,"Godwin, William, 1756-1836.",English,1834
The delights of chess.,"Fraenkel, Heinrich, 1897-1986.",English,1960
"Egyptian magic,","Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934.",English,1899
"Hindu magic,","Carrington, Hereward, 1880-1959.",English,1909
Adventures of the mind.,"Castiglioni, Arturo, 1874-1953.",English,1946
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1914
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1922
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1940
Transcendental magic : its doctrine and ritual,"Lévi, Eliphas, 1810-1875.",English,1938
"A compleat system of magick; or, The history of the black-art ...","Defoe, Daniel, 1661?-1731.",English,1729
"The old book of magic; a precise history of magic, its procedure, rites and mysteries as contained in ancient manuscripts, embellished with engravings of wonderful charms and talismans,","De Laurence, L. W. (Lauron William), b. 1868.",English,1918
